,username,user_retweeted,timestamp,count_rt,text,count_rt_day,count_t_day
1,SArrow9578,PoliceSynergie,2020-03-28 23:58:12,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,1
5,Desperadjo,JeanLucLemoine,2020-03-28 23:57:24,55,"RT @JeanLucLemoine: J11 Astuce bonheur : à ma grande surprise, ce filtre est toujours disponible sur Facebook. Profitez en! #confinement #c…",12,1
7,CeSIDI,EstherBenbassa,2020-03-28 23:56:54,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
9,AbelBomisso,France24_fr,2020-03-28 23:56:22,67,"RT @France24_fr: 🌍 Un tiers de l'humanité est désormais en #confinement, une situation parfois difficile à supporter. Quelles sont vos astu…",44,1
10,AnneBullet,MarleneSchiappa,2020-03-28 23:55:57,195,"RT @MarleneSchiappa: Actions #ViolencesConjugales 
#confinement 

✅Points d’accompagnement des femmes en face d’hypermarchés @urw_group 
✅A…",119,1
12,AdoIfHitman,PoliceSynergie,2020-03-28 23:55:27,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,1
13,laicratie,EstherBenbassa,2020-03-28 23:55:18,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
17,TontonSomeul,EstherBenbassa,2020-03-28 23:54:01,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
18,desvessies,EstherBenbassa,2020-03-28 23:53:53,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
20,VictorG14tdc,Deputee_Obono,2020-03-28 23:53:02,48,RT @Deputee_Obono: 🔴#COVID19 Faire respecter le #confinement ne doit pas être un prétexte pour multiplier les contrôles de police abusifs &amp;…,29,2
21,Moicestloki_,PoliceSynergie,2020-03-28 23:52:48,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,1
22,Sobyso1,PoliceSynergie,2020-03-28 23:52:41,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,1
23,matrifuao,EstherBenbassa,2020-03-28 23:52:03,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
24,profetteSVT,acupoftim,2020-03-28 23:51:40,741,"RT @acupoftim: Nouveau dessin/jeu #confinement : ""Hourra, le #COVID19 a disparu ! Problème, maintenant il reste 30 rouleaux de pq éparpillé…",601,1
25,Emma00298108,PoliceSCSI,2020-03-28 23:51:35,23,"RT @PoliceSCSI: Dès lundi des établissements scolaires accueilleront des enfants de membres des #FDO qui travaillent. Il était temps, cette…",26,2
26,Yopyop71463114,R_DeCastelnau,2020-03-28 23:50:56,199,"RT @R_DeCastelnau: À votre tour les amis...

#confinement #CONFINEMENTJOUR12

https://t.co/jV8rIAQyCK",110,1
27,DentonSeverine,EstherBenbassa,2020-03-28 23:50:55,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
28,Moije6,EstherBenbassa,2020-03-28 23:50:40,183,"RT @EstherBenbassa: Ce soir, dans @libe, une tribune dont je suis cosignataire. Plus d'une centaine de sénatrices et de sénateurs demande a…",483,1
31,boubouche73,EstherBenbassa,2020-03-28 23:50:07,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
33,Rmou9,PoliceSynergie,2020-03-28 23:50:00,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,1
34,P3terFr,AllanBARTE,2020-03-28 23:49:55,3485,"RT @AllanBARTE: Qui aurait pu prévoir ça ? Qui ?

#CONFINEMENTJOUR11 #confinement #Covid_19 #COVIDー19 #COVID19 #Tests #masques #COVID2019 #…",585,1
35,charline5001,EstherBenbassa,2020-03-28 23:49:34,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
36,FFavraud,EstherBenbassa,2020-03-28 23:49:30,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
37,KBessemi,Deputee_Obono,2020-03-28 23:48:31,48,RT @Deputee_Obono: 🔴#COVID19 Faire respecter le #confinement ne doit pas être un prétexte pour multiplier les contrôles de police abusifs &amp;…,29,2
39,1peu2serieux,AllanBARTE,2020-03-28 23:47:57,3485,"RT @AllanBARTE: Qui aurait pu prévoir ça ? Qui ?

#CONFINEMENTJOUR11 #confinement #Covid_19 #COVIDー19 #COVID19 #Tests #masques #COVID2019 #…",585,1
40,___zbvd,PoliceSynergie,2020-03-28 23:47:37,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,1
41,springbock3000,PoliceSynergie,2020-03-28 23:46:57,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,1
43,tapatapatoudi,AllanBARTE,2020-03-28 23:46:53,3485,"RT @AllanBARTE: Qui aurait pu prévoir ça ? Qui ?

#CONFINEMENTJOUR11 #confinement #Covid_19 #COVIDー19 #COVID19 #Tests #masques #COVID2019 #…",585,1
44,_Cegeter_,Deputee_Obono,2020-03-28 23:46:40,48,RT @Deputee_Obono: 🔴#COVID19 Faire respecter le #confinement ne doit pas être un prétexte pour multiplier les contrôles de police abusifs &amp;…,29,2
45,ELCHE_K,R_DeCastelnau,2020-03-28 23:46:19,199,"RT @R_DeCastelnau: À votre tour les amis...

#confinement #CONFINEMENTJOUR12

https://t.co/jV8rIAQyCK",110,1
46,MaiEnFleur,EstherBenbassa,2020-03-28 23:45:49,183,"RT @EstherBenbassa: Ce soir, dans @libe, une tribune dont je suis cosignataire. Plus d'une centaine de sénatrices et de sénateurs demande a…",483,2
47,FrancoiseMars,R_DeCastelnau,2020-03-28 23:45:43,199,"RT @R_DeCastelnau: À votre tour les amis...

#confinement #CONFINEMENTJOUR12

https://t.co/jV8rIAQyCK",110,1
48,AliceBERTRAN,acupoftim,2020-03-28 23:45:32,741,"RT @acupoftim: Nouveau dessin/jeu #confinement : ""Hourra, le #COVID19 a disparu ! Problème, maintenant il reste 30 rouleaux de pq éparpillé…",601,1
49,jl_nome,EstherBenbassa,2020-03-28 23:45:21,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
51,Leonard_Bangkok,acupoftim,2020-03-28 23:44:38,741,"RT @acupoftim: Nouveau dessin/jeu #confinement : ""Hourra, le #COVID19 a disparu ! Problème, maintenant il reste 30 rouleaux de pq éparpillé…",601,1
55,MaiEnFleur,Deputee_Obono,2020-03-28 23:43:07,48,RT @Deputee_Obono: 🔴#COVID19 Faire respecter le #confinement ne doit pas être un prétexte pour multiplier les contrôles de police abusifs &amp;…,29,2
58,legrostuyaux,EstherBenbassa,2020-03-28 23:41:29,183,"RT @EstherBenbassa: Ce soir, dans @libe, une tribune dont je suis cosignataire. Plus d'une centaine de sénatrices et de sénateurs demande a…",483,2
59,PauloMtd95,PoliceSynergie,2020-03-28 23:41:13,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,1
60,Pierreldt1,PoliceSynergie,2020-03-28 23:41:07,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,1
61,Julie75meow,EstherBenbassa,2020-03-28 23:40:48,183,"RT @EstherBenbassa: Ce soir, dans @libe, une tribune dont je suis cosignataire. Plus d'une centaine de sénatrices et de sénateurs demande a…",483,2
62,HG95800,EstherBenbassa,2020-03-28 23:40:44,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
63,Pickaatchu,EstherBenbassa,2020-03-28 23:40:03,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
64,acces,Egal_FH,2020-03-28 23:39:47,31,RT @Egal_FH: #COVID19 | Retrouvez le « Guide des parents confinés » 50 professionnels &amp; #parents répondent aux questions que vous vous pose…,43,1
66,FROSTYZ1952,R_DeCastelnau,2020-03-28 23:39:42,199,"RT @R_DeCastelnau: À votre tour les amis...

#confinement #CONFINEMENTJOUR12

https://t.co/jV8rIAQyCK",110,1
67,audilalpha,EstherBenbassa,2020-03-28 23:39:36,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
68,Chani_Bayle,Deputee_Obono,2020-03-28 23:39:24,48,RT @Deputee_Obono: 🔴#COVID19 Faire respecter le #confinement ne doit pas être un prétexte pour multiplier les contrôles de police abusifs &amp;…,29,2
70,VimontAc,EstherBenbassa,2020-03-28 23:39:10,183,"RT @EstherBenbassa: Ce soir, dans @libe, une tribune dont je suis cosignataire. Plus d'une centaine de sénatrices et de sénateurs demande a…",483,1
71,Maatnefer1,EstherBenbassa,2020-03-28 23:38:54,183,"RT @EstherBenbassa: Ce soir, dans @libe, une tribune dont je suis cosignataire. Plus d'une centaine de sénatrices et de sénateurs demande a…",483,1
74,Colbert71045632,EstherBenbassa,2020-03-28 23:38:15,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,2
76,MarekuIshtar,PoliceSynergie,2020-03-28 23:37:16,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,1
78,Tovarichlama,AllanBARTE,2020-03-28 23:36:35,3485,"RT @AllanBARTE: Qui aurait pu prévoir ça ? Qui ?

#CONFINEMENTJOUR11 #confinement #Covid_19 #COVIDー19 #COVID19 #Tests #masques #COVID2019 #…",585,1
79,Sosochoo,Kontre_Kulture,2020-03-28 23:36:19,25,"RT @Kontre_Kulture: 📢#Soral a (presque toujours) raison – Réflexions sur le couillonavirus
Vidéo intégrale gratuite !
https://t.co/DuLgMJAG…",20,1
80,johann60000,EstherBenbassa,2020-03-28 23:35:52,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
83,ASHZEN17,EstherBenbassa,2020-03-28 23:35:27,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
88,LudovicCLC,EstherBenbassa,2020-03-28 23:34:28,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
89,loupdmer,EstherBenbassa,2020-03-28 23:34:20,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,2
91,carrionlydie,PoliceSynergie,2020-03-28 23:34:10,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,1
92,DAJUEL,AllanBARTE,2020-03-28 23:34:06,3485,"RT @AllanBARTE: Qui aurait pu prévoir ça ? Qui ?

#CONFINEMENTJOUR11 #confinement #Covid_19 #COVIDー19 #COVID19 #Tests #masques #COVID2019 #…",585,1
93,Guiller56294421,acupoftim,2020-03-28 23:34:05,741,"RT @acupoftim: Nouveau dessin/jeu #confinement : ""Hourra, le #COVID19 a disparu ! Problème, maintenant il reste 30 rouleaux de pq éparpillé…",601,1
96,Floflooo2,PoliceSynergie,2020-03-28 23:32:12,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,1
98,Bullywug2,EstherBenbassa,2020-03-28 23:31:44,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
100,MounMir,PoliceSynergie,2020-03-28 23:30:49,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,1
101,gcaille,EstherBenbassa,2020-03-28 23:30:37,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
103,titikayenta,LachaudB,2020-03-28 23:29:55,133,"RT @LachaudB: Le #gouvernement a peur, le #Peuple sera son juge. Pouvoir révoquer les élus n'a jamais été autant d'actualité. #Covid_19 #co…",67,2
105,emiliebethery,Fondationfemmes,2020-03-28 23:28:27,107,"RT @Fondationfemmes: [COMMUNIQUÉ DE PRESSE]
Face au #confinement, et grâce à la générosité de ses mécènes, entreprises et particuliers, la…",79,1
108,ClaraM17012658,EstherBenbassa,2020-03-28 23:27:08,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
111,Garlyle80,R_DeCastelnau,2020-03-28 23:26:46,199,"RT @R_DeCastelnau: À votre tour les amis...

#confinement #CONFINEMENTJOUR12

https://t.co/jV8rIAQyCK",110,1
116,__Oceaane,EstherBenbassa,2020-03-28 23:25:49,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
118,VirFq,PoliceSynergie,2020-03-28 23:25:42,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,1
119,JaamesLea,sararobe93,2020-03-28 23:25:20,448,"RT @sararobe93: ce qui est important c'est ce ""Non Non!"" justement..
#COVID19france #COVID19 #coronavirus #confinement #Confinementjour12…",377,1
123,PetulaGazpart,EstherBenbassa,2020-03-28 23:24:17,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
124,alfagamabetizad,EstherBenbassa,2020-03-28 23:24:12,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
126,jalifoly,Egal_FH,2020-03-28 23:23:48,437,"RT @Egal_FH: Mesdames,
Vous avez parfaitement le droit de sortir pour vous rendre au commissariat déposer plainte pour #ViolencesConjugales…",43,1
127,ARNOGUY,R_DeCastelnau,2020-03-28 23:23:33,199,"RT @R_DeCastelnau: À votre tour les amis...

#confinement #CONFINEMENTJOUR12

https://t.co/jV8rIAQyCK",110,1
129,Marcolachipo,R_DeCastelnau,2020-03-28 23:22:46,199,"RT @R_DeCastelnau: À votre tour les amis...

#confinement #CONFINEMENTJOUR12

https://t.co/jV8rIAQyCK",110,2
130,milcendeauS,EstherBenbassa,2020-03-28 23:22:39,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
133,Caulaincourt2,R_DeCastelnau,2020-03-28 23:22:05,199,"RT @R_DeCastelnau: À votre tour les amis...

#confinement #CONFINEMENTJOUR12

https://t.co/jV8rIAQyCK",110,1
135,agoratheora71,docteurmasque,2020-03-28 23:21:52,5,"RT @docteurmasque: Que penser de la CGT qui a déposé un préavis de grève dans les transports pour avril?
#martinez prend le risque de dimin…",22,1
137,Charurumi,ZinebElRhazoui,2020-03-28 23:21:00,2505,"RT @ZinebElRhazoui: Pour faire respecter le #confinement au #Maroc, pas d’amende de 135 euros. La sanction est beaucoup plus, comment dire.…",12,2
138,suisse_couteau,LachaudB,2020-03-28 23:20:30,133,"RT @LachaudB: Le #gouvernement a peur, le #Peuple sera son juge. Pouvoir révoquer les élus n'a jamais été autant d'actualité. #Covid_19 #co…",67,4
141,LylJac92,PoliceSCSI,2020-03-28 23:20:19,23,"RT @PoliceSCSI: Dès lundi des établissements scolaires accueilleront des enfants de membres des #FDO qui travaillent. Il était temps, cette…",26,3
142,MoutonNoir18,acupoftim,2020-03-28 23:19:29,741,"RT @acupoftim: Nouveau dessin/jeu #confinement : ""Hourra, le #COVID19 a disparu ! Problème, maintenant il reste 30 rouleaux de pq éparpillé…",601,1
144,Charurumi,PoliceSynergie,2020-03-28 23:18:55,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,2
151,carogasou,PoliceSynergie,2020-03-28 23:17:46,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,1
152,ClaudeClerc,R_DeCastelnau,2020-03-28 23:17:20,199,"RT @R_DeCastelnau: À votre tour les amis...

#confinement #CONFINEMENTJOUR12

https://t.co/jV8rIAQyCK",110,1
153,hasni51,EstherBenbassa,2020-03-28 23:17:15,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
154,legrostuyaux,EstherBenbassa,2020-03-28 23:17:07,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,2
156,ValbertP,LachaudB,2020-03-28 23:16:58,133,"RT @LachaudB: Le #gouvernement a peur, le #Peuple sera son juge. Pouvoir révoquer les élus n'a jamais été autant d'actualité. #Covid_19 #co…",67,1
158,FabX1793,Deputee_Obono,2020-03-28 23:16:32,48,RT @Deputee_Obono: 🔴#COVID19 Faire respecter le #confinement ne doit pas être un prétexte pour multiplier les contrôles de police abusifs &amp;…,29,1
161,JiaumeM,PoliceSynergie,2020-03-28 23:15:17,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,1
162,IeshouaAsso,jourduseigneur,2020-03-28 23:15:02,21,RT @jourduseigneur: La tension monte dans les prisons françaises. Les prisonniers et le personnel sont-ils assez protégés du #COVID19 ? Éco…,17,1
163,ClaireCapitaine,AgatheGazouille,2020-03-28 23:15:02,7,"RT @AgatheGazouille: JOUR 12. Pour une fois que je m'étais organisée, j'apprécierais un petit effort.... #confinement  #15avril #jour12 #To…",6,2
164,MarieSoliane,MarleneSchiappa,2020-03-28 23:15:01,195,"RT @MarleneSchiappa: Actions #ViolencesConjugales 
#confinement 

✅Points d’accompagnement des femmes en face d’hypermarchés @urw_group 
✅A…",119,2
167,samaty10,EstherBenbassa,2020-03-28 23:13:49,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,2
168,sandrine60240,PoliceSynergie,2020-03-28 23:13:39,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,1
169,MONSIEUR_DH,AllanBARTE,2020-03-28 23:13:38,3485,"RT @AllanBARTE: Qui aurait pu prévoir ça ? Qui ?

#CONFINEMENTJOUR11 #confinement #Covid_19 #COVIDー19 #COVID19 #Tests #masques #COVID2019 #…",585,1
171,Celinecornet4,France24_fr,2020-03-28 23:13:34,67,"RT @France24_fr: 🌍 Un tiers de l'humanité est désormais en #confinement, une situation parfois difficile à supporter. Quelles sont vos astu…",44,1
173,Nicoxyz01,PoliceSynergie,2020-03-28 23:12:31,3907,RT @PoliceSynergie: Guet-apens cette nuit contre les #policiers aux Francs-Moisins (93). Le respect du #confinement #RestezChezVous vu par…,2228,1
176,senegauloise74,EstherBenbassa,2020-03-28 23:11:38,183,"RT @EstherBenbassa: Ce soir, dans @libe, une tribune dont je suis cosignataire. Plus d'une centaine de sénatrices et de sénateurs demande a…",483,1
177,CanalOblik,R_DeCastelnau,2020-03-28 23:11:23,199,"RT @R_DeCastelnau: À votre tour les amis...

#confinement #CONFINEMENTJOUR12

https://t.co/jV8rIAQyCK",110,2
179,haikem_nora,R_DeCastelnau,2020-03-28 23:10:53,199,"RT @R_DeCastelnau: À votre tour les amis...

#confinement #CONFINEMENTJOUR12

https://t.co/jV8rIAQyCK",110,1
180,Jaline0705,EstherBenbassa,2020-03-28 23:10:48,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
181,meephon,acupoftim,2020-03-28 23:10:17,741,"RT @acupoftim: Nouveau dessin/jeu #confinement : ""Hourra, le #COVID19 a disparu ! Problème, maintenant il reste 30 rouleaux de pq éparpillé…",601,1
182,Khaltibessara,EstherBenbassa,2020-03-28 23:10:00,183,"RT @EstherBenbassa: Ce soir, dans @libe, une tribune dont je suis cosignataire. Plus d'une centaine de sénatrices et de sénateurs demande a…",483,1
183,spaby_,acupoftim,2020-03-28 23:09:31,741,"RT @acupoftim: Nouveau dessin/jeu #confinement : ""Hourra, le #COVID19 a disparu ! Problème, maintenant il reste 30 rouleaux de pq éparpillé…",601,1
184,lette_rou,MehdiOmais,2020-03-28 23:09:29,86,"RT @MehdiOmais: Les Buttes-Chaumont, au 12ème jour du #confinement. La nature reprend ses droits. https://t.co/gAF4JuEp0k",93,1
186,Objos1,R_DeCastelnau,2020-03-28 23:09:02,199,"RT @R_DeCastelnau: À votre tour les amis...

#confinement #CONFINEMENTJOUR12

https://t.co/jV8rIAQyCK",110,1
188,gegedp851,EstherBenbassa,2020-03-28 23:08:23,183,"RT @EstherBenbassa: Ce soir, dans @libe, une tribune dont je suis cosignataire. Plus d'une centaine de sénatrices et de sénateurs demande a…",483,1
190,1Esperluette,LachaudB,2020-03-28 23:07:33,133,"RT @LachaudB: Le #gouvernement a peur, le #Peuple sera son juge. Pouvoir révoquer les élus n'a jamais été autant d'actualité. #Covid_19 #co…",67,1
194,benoith2016,BVoltaire,2020-03-28 23:07:16,41,RT @BVoltaire: L'incroyable débat entre un membre de l'équipe du professeur Raoult et les instances médicales officielles  #Confinement #Di…,43,1
196,marcgari1,R_DeCastelnau,2020-03-28 23:07:07,199,"RT @R_DeCastelnau: À votre tour les amis...

#confinement #CONFINEMENTJOUR12

https://t.co/jV8rIAQyCK",110,1
198,euh_oui_maisnon,acupoftim,2020-03-28 23:06:02,741,"RT @acupoftim: Nouveau dessin/jeu #confinement : ""Hourra, le #COVID19 a disparu ! Problème, maintenant il reste 30 rouleaux de pq éparpillé…",601,1
199,92enmarche,MarleneSchiappa,2020-03-28 23:05:41,195,"RT @MarleneSchiappa: Actions #ViolencesConjugales 
#confinement 

✅Points d’accompagnement des femmes en face d’hypermarchés @urw_group 
✅A…",119,1
200,Maximil79372318,LachaudB,2020-03-28 23:05:20,133,"RT @LachaudB: Le #gouvernement a peur, le #Peuple sera son juge. Pouvoir révoquer les élus n'a jamais été autant d'actualité. #Covid_19 #co…",67,1
201,SimonCloutier2,AllanBARTE,2020-03-28 23:05:08,3485,"RT @AllanBARTE: Qui aurait pu prévoir ça ? Qui ?

#CONFINEMENTJOUR11 #confinement #Covid_19 #COVIDー19 #COVID19 #Tests #masques #COVID2019 #…",585,1
202,ParadoxPastTime,AllanBARTE,2020-03-28 23:04:49,3485,"RT @AllanBARTE: Qui aurait pu prévoir ça ? Qui ?

#CONFINEMENTJOUR11 #confinement #Covid_19 #COVIDー19 #COVID19 #Tests #masques #COVID2019 #…",585,1
203,RixainMP,MarleneSchiappa,2020-03-28 23:04:40,195,"RT @MarleneSchiappa: Actions #ViolencesConjugales 
#confinement 

✅Points d’accompagnement des femmes en face d’hypermarchés @urw_group 
✅A…",119,1
204,bahiacan,EstherBenbassa,2020-03-28 23:04:38,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,1
205,mf_petitcoeur,EstherBenbassa,2020-03-28 23:04:18,740,"RT @EstherBenbassa: ""Je ne laisserai personne dire qu'il y a eu du retard dans la prise de décision s'agissant du #confinement"", dit ce soi…",483,2
