,username,count_rt_day,count_t_day,closeness_centrality,degree,in_degree,out_degree,betweenness_centrality,pagerank_value,cluster_id,modularity,new_cluster_id
0,PoliceSynergie,2228.0,0.0,0.37743520243943757,2228,2228,0,0.0,0.12616238341400346,0,0.8029180383637673,0
1,JeanLucLemoine,12.0,0.0,0.002032864645095714,12,12,0,0.0,0.0007277929815752769,213,0.8029180383637673,213
2,EstherBenbassa,483.0,0.0,0.07707945112654582,455,455,0,0.0,0.024307827008310728,2,0.8029180383637673,2
3,France24_fr,44.0,0.0,0.007453837032017618,44,44,0,0.0,0.002477524376717721,213,0.8029180383637673,213
4,MarleneSchiappa,119.0,0.0,0.019481619515500592,115,115,0,0.0,0.006356736563201116,4,0.8029180383637673,4
5,Deputee_Obono,29.0,0.0,0.004912756225647976,29,29,0,0.0,0.0014103805038561212,5,0.8029180383637673,5
6,acupoftim,601.0,0.0,0.10114199325113497,597,597,0,0.0,0.03416706616414037,6,0.8029180383637673,6
7,PoliceSCSI,26.0,0.0,0.004404540064374047,26,26,0,0.0,0.0013526970512690074,213,0.8029180383637673,213
8,R_DeCastelnau,110.0,0.0,0.018634592580044046,110,110,0,0.0,0.00582797158115257,213,0.8029180383637673,213
9,AllanBARTE,585.0,0.0,0.09588344909368118,566,566,0,0.0,0.031792254981488646,9,0.8029180383637673,9
10,Egal_FH,43.0,0.0,0.006945620870743689,41,41,0,0.0,0.0022660183838983054,4,0.8029180383637673,4
11,Kontre_Kulture,20.0,0.0,0.00338810774182619,20,20,0,0.0,0.0011315771496850722,213,0.8029180383637673,213
12,LachaudB,67.0,0.0,0.010333728612569879,61,61,0,0.0,0.0030418608211949813,5,0.8029180383637673,5
13,Fondationfemmes,79.0,0.0,0.011519566322209046,68,68,0,0.0,0.0035831238846373956,13,0.8029180383637673,13
14,sararobe93,377.0,1.0,0.06369642554633237,378,377,1,0.0,0.21004513308573636,14,0.8029180383637673,14
15,docteurmasque,22.0,0.0,0.0035575131289174995,21,21,0,0.0,0.0012469440548592994,213,0.8029180383637673,213
16,ZinebElRhazoui,12.0,0.0,0.002032864645095714,12,12,0,0.0,0.0006989512552817201,213,0.8029180383637673,213
17,jourduseigneur,17.0,0.0,0.002371675419278333,14,14,0,0.0,0.0008143181604559473,213,0.8029180383637673,213
18,AgatheGazouille,6.0,0.0,0.0008470269354565475,5,5,0,0.0,0.0003240088134654816,2,0.8029180383637673,2
19,MehdiOmais,93.0,0.0,0.014907674064035236,88,88,0,0.0,0.004996368473021681,213,0.8029180383637673,213
20,BVoltaire,43.0,0.0,0.00677621548365238,40,40,0,0.0,0.0021025819349014836,213,0.8029180383637673,213
21,franceinter,18.0,0.0,0.002710486193460952,16,16,0,0.0,0.0008720016130430609,213,0.8029180383637673,213
22,fredericbouraly,45.0,0.0,0.007623242419108928,45,45,0,0.0,0.0026313469169500234,213,0.8029180383637673,213
23,le_Parisien,216.0,3.0,0.03574453667626631,212,211,1,5.941530858675206e-06,0.0115722820679526,12,0.8029180383637673,12
24,30millionsdamis,135.0,1.0,0.022192105708961546,133,132,1,0.0,0.07116699708717575,20,0.8029180383637673,20
25,ClaraSchmelck,18.0,0.0,0.003049296967643571,18,18,0,0.0,0.0009777546094527692,213,0.8029180383637673,213
26,Marius_Rx,42.0,0.0,0.00677621548365238,40,40,0,0.0,0.0021073888892837434,13,0.8029180383637673,13
27,Charlescohenboy,15.0,0.0,0.0025410808063696427,15,15,0,0.0,0.0008431598867495041,213,0.8029180383637673,213
28,BlancheurO,51.0,0.0,0.008639674741656785,51,51,0,0.0,0.0027294087863481164,213,0.8029180383637673,213
29,parisvisites,39.0,0.0,0.006606810096561071,39,39,0,0.0,0.002237176657604749,213,0.8029180383637673,213
30,NellyTerrier,91.0,0.0,0.028946254358624076,85,85,0,0.0,0.014927625353295115,213,0.8029180383637673,213
31,flogazan,37.0,0.0,0.006098593935287142,36,36,0,0.0,0.0020833541173724463,213,0.8029180383637673,213
